Kinematic Variable,DatScan Variable,Pearson Correlation,P-value,N
cvopeningspeed,Contralateral_Striatum_Z,-0.2630421074067523,0.03726425866353365,63
meanrmsvelocity,Contralateral_Striatum_Z,0.26259825872214326,0.03759772490516448,63
cvopeningspeed,Contralateral_Striatum_new,-0.26154559504996894,0.0383985062970116,63
stdrmsvelocity,Contralateral_Striatum_old,-0.32372634292100794,0.038949278080647916,41
stdcycleduration,Contralateral_Caudate_Z,-0.25971816265987846,0.03982222518800283,63
stdspeed,Contralateral_Striatum_old,-0.3208098449511179,0.040848399196384194,41
stdclosingspeed,Contralateral_Striatum_Z,-0.2562146938742349,0.04267388874807217,63
stdclosingspeed,Contralateral_Putamen_Z,-0.2561814534447959,0.042701730511458605,63
cvspeed,Contralateral_Caudate_old,-0.31027830742117446,0.04287168493230716,43
stdopeningspeed,Contralateral_Caudate_old,-0.3064143939272002,0.045668523695365226,43
meanspeed,Contralateral_Striatum_Z,0.2517089302666924,0.046586798530954696,63
stdrmsvelocity,Contralateral_Caudate_old,-0.3047582897971811,0.04691172906648984,43
meanamplitude,Contralateral_Caudate_new,0.25125065002608626,0.047000764301766744,63
stdclosingspeed,Contralateral_Caudate_Z,-0.24736047195742425,0.050637675617065905,63
cvcycleduration,Contralateral_Striatum_old,-0.30558930135518825,0.05201921900022811,41
ratedecay,Contralateral_Caudate_new,0.2444567739476804,0.05349955999689661,63
cvopeningspeed,Contralateral_Putamen_new,-0.24433962623307742,0.05361772900415652,63
cvopeningspeed,Contralateral_Putamen_Z,-0.24145803686336623,0.056591979490003844,63
stdcycleduration,Contralateral_Striatum_new,-0.23509958892165733,0.06362941788605429,63
meanclosingspeed,Contralateral_Caudate_Z,0.23398784557363692,0.06492936437929221,63
meanopeningspeed,Contralateral_Putamen_Z,0.23374527943539133,0.06521581354154676,63
ratedecay,Contralateral_Striatum_new,0.23352877878147252,0.06547233920300496,63
meanrmsvelocity,Contralateral_Putamen_Z,0.23269295765875533,0.06647030165820471,63
meanopeningspeed,Contralateral_Striatum_new,0.23056258974017887,0.06906926170703752,63
cvcycleduration,Contralateral_Striatum_Z,-0.22714241385082626,0.07341136043526539,63
meanrmsvelocity,Contralateral_Caudate_new,0.2258353257723938,0.07512719056399153,63
ratedecay,Contralateral_Putamen_new,0.22325147058702474,0.07861291517490573,63
meanspeed,Contralateral_Putamen_Z,0.22164700111254343,0.0808411968846255,63
meancycleduration,Contralateral_Caudate_Z,-0.21779084282428565,0.08640127946265448,63
meanspeed,Contralateral_Caudate_new,0.21620503752270942,0.08877339700234926,63
stdcycleduration,Contralateral_Putamen_new,-0.21571644062610992,0.08951448292277851,63
stdcycleduration,Contralateral_Striatum_Z,-0.21505004064103903,0.09053307507441859,63
meanamplitude,Contralateral_Striatum_new,0.21169526381557519,0.09579962385954327,63
amplitudedecay,Contralateral_Caudate_Z,-0.2071098316697149,0.10338136354567336,63
cvopeningspeed,Contralateral_Striatum_old,-0.25561761209839545,0.10673138523524334,41
cvcycleduration,Contralateral_Putamen_Z,-0.2035621633576756,0.10956001260250374,63
amplitudedecay,Contralateral_Striatum_Z,-0.202564769695233,0.11134734567667012,63
velocitydecay,Contralateral_Striatum_old,-0.2512604281870725,0.11304867611517315,41
meanamplitude,Contralateral_Caudate_Z,0.20115925698809398,0.11390401446788086,63
meanopeningspeed,Contralateral_Putamen_new,0.20073098286185645,0.1146919496629213,63
amplitudedecay,Contralateral_Caudate_new,-0.20072886301227766,0.1146958601188991,63
meanclosingspeed,Contralateral_Striatum_Z,0.20025397523106506,0.1155744599069704,63
amplitudedecay,Contralateral_Putamen_Z,-0.19839964199556684,0.11905467908054194,63
amplitudedecay,Contralateral_Striatum_new,-0.1982127117643233,0.11940990664121881,63
amplitudedecay,Contralateral_Putamen_new,-0.19783613843997389,0.1201279752435762,63
cvopeningspeed,Contralateral_Caudate_old,-0.23592904387367367,0.12773513824632393,43
meancycleduration,Contralateral_Striatum_Z,-0.19229277150384655,0.13108363176327598,63
stdcycleduration,Contralateral_Putamen_Z,-0.18816306925612125,0.1397244912114159,63
velocitydecay,Contralateral_Putamen_new,-0.1877390811285598,0.14063526645708965,63
rangecycleduration,Contralateral_Striatum_old,0.2335894041588895,0.14159738331261282,41
meanamplitude,Contralateral_Putamen_new,0.18619203136619264,0.14399628240429563,63
meanrmsvelocity,Contralateral_Striatum_new,0.1839088656592397,0.14906574146414167,63
rangecycleduration,Contralateral_Putamen_new,0.18313158474398764,0.15082154825618702,63
meanclosingspeed,Contralateral_Putamen_Z,0.1810589386948894,0.1555785493962052,63
velocitydecay,Contralateral_Striatum_new,-0.1795482103018104,0.15911521001392068,63
rangecycleduration,Contralateral_Putamen_Z,0.17783613702703593,0.16319453223559952,63
amplitudedecay,Contralateral_Striatum_old,-0.21777842638256967,0.1713683159917864,41
meancycleduration,Contralateral_Putamen_Z,-0.1742223372157727,0.1720565731241171,63
meanspeed,Contralateral_Striatum_new,0.17337905547565777,0.17417412713211666,63
rate,Contralateral_Striatum_old,-0.21625430962381556,0.1744594409275776,41
velocitydecay,Contralateral_Caudate_new,-0.17183616440498276,0.17809747840241186,63
stdcycleduration,Contralateral_Striatum_old,-0.20787205616320306,0.19217641385502265,41
cvrmsvelocity,Contralateral_Caudate_old,-0.1971781713665339,0.20502343609753823,43
